공고번호,날짜,기초가,예가,투찰가
9250156,2025.07.24,18800000,18816763,15264000
9250220,2025.07.24,19085000,19137315,19080000
9250153,2025.07.24,21230000,21224257,17089067
9250148,2025.07.24,123180000,122410145,107737000
9250088,2025.07.24,198724,197586,185690
9250078,2025.07.23,46350000,46332193,46000000
9250152,2025.07.23,5800000,5806923,5750000
9250173,2025.07.22,13500000,13503997,11885141
9250073,2025.07.22,19180000,19191816,15455000
9250096,2025.07.22,246600000,246512492,198498190
9250102,2025.07.22,46479700,46706937,46452000
9250169,2025.07.22,20138184,20169698,20138000
9250170,2025.07.22,14976000,14963799,14855000
9250075,2025.07.22,46703250,46929782,43760930
9250016,2025.07.21,108150,108804,91700
9250134,2025.07.21,19878900,19768093,17459000
9250079,2025.07.21,18000000,18001661,17960000
9250006,2025.07.18,34740000,34761715,27990000
9250027,2025.07.18,51068070,51300194,41309000
9250038,2025.07.18,41730000,42094278,34320000
9250100,2025.07.18,15800000,15960205,15100000
9250221,2025.07.18,837000000,842116402,840000000
9250224,2025.07.18,43220000,43249868,43140000
9250001,2025.07.17,43571800,43586747,41775000
9250005,2025.07.17,17298,17325,14011
9250025,2025.07.17,15240120,15369814,13701000
9249954,2025.07.16,132775000,134247713,132770000
9249987,2025.07.16,51540000,51700562,49980000
9249997,2025.07.16,17429328,17480675,15495000
9250010,2025.07.16,18000000,18015042,18000000
9250018,2025.07.16,2690065200,2669921149,2160471582
9250039,2025.07.16,18754380,18632882,16460719
9250052,2025.07.16,21640,21521,18990
9250056,2025.07.16,9500000,9438507,8450000
9250058,2025.07.16,16544000,16656380,16370000
9250172,2025.07.16,7330000000,7323689287,7280000000
9249940,2025.07.15,5725330,5689671,5033720
9250132,2025.07.15,181400000,181936259,181000000
9249937,2025.07.15,4182000,4182731,3379056
9249982,2025.07.15,641500000,642536716,517690400
9249981,2025.07.15,13668495,13799971,12328980
9250114,2025.07.14,3403000,3417390,3400000
9249867,2025.07.11,975859000,967771656,961221000
9249962,2025.07.11,42900000,42719698,37000000
9249963,2025.07.11,22572000,22796370,18425300
9249975,2025.07.11,17650000,17545569,17380000
9249894,2025.07.11,435130300,431316077,347453268
9249908,2025.07.10,50800000,50706756,44638700
9249920,2025.07.10,21881980,22016419,20570000
9249931,2025.07.10,51540000,52309598,49930000
9249949,2025.07.10,16248000,16226196,14325049
9249950,2025.07.10,15000000,14874195,13170000
9249999,2025.07.10,424500000,425407956,424500000
9250031,2025.07.10,48354500,48424931,47357500
9249912,2025.07.09,34850000,35082226,28577000
9249936,2025.07.09,87555600,87159663,70162220
9249913,2025.07.09,101448,102083,100180
9249869,2025.07.09,27140000,26945770,21853000
9249902,2025.07.09,39842703,39985041,32550000
9249890,2025.07.08,290502300,289075791,232699155
9249928,2025.07.08,17500000,17490909,17380000
9249930,2025.07.08,17242500,17155647,15163000
9249850,2025.07.04,264945000,265060482,213362857
9249859,2025.07.04,155232000,155209757,144000000
9249877,2025.07.04,15642650,15701286,15587000
9249892,2025.07.04,20606300,20595986,18195000
9249865,2025.07.03,17450000,17477390,17450000
9249864,2025.07.03,18480000,18488317,16291968
9249848,2025.07.03,40000000,39615434,32208000
9249847,2025.07.03,51870000,51773324,41975797
9249846,2025.07.03,50250000,50092851,40348489
9249843,2025.07.03,136146800,135475457,119223000
9249835,2025.07.02,55218240,55300279,44530750
9249838,2025.07.02,432000000,429963200,378997900
9249853,2025.07.02,25219954,25131220,20262000
